"link","word","l1","l2","l3","l4","l5"
"https://kbbi.kemdikbud.go.id/entri/aerob","aerob","a","e","r","o","b"
"https://kbbi.kemdikbud.go.id/entri/afair","afair","a","f","a","i","r"
"https://kbbi.kemdikbud.go.id/entri/afdal","afdal","a","f","d","a","l"
"https://kbbi.kemdikbud.go.id/entri/afdol","afdol","a","f","d","o","l"
"https://kbbi.kemdikbud.go.id/entri/afian","afian","a","f","i","a","n"
"https://kbbi.kemdikbud.go.id/entri/afiat","afiat","a","f","i","a","t"
"https://kbbi.kemdikbud.go.id/entri/afiks","afiks","a","f","i","k","s"
"https://kbbi.kemdikbud.go.id/entri/afkir","afkir","a","f","k","i","r"
"https://kbbi.kemdikbud.go.id/entri/afoka","afoka","a","f","o","k","a"
"https://kbbi.kemdikbud.go.id/entri/afore","afore","a","f","o","r","e"
"https://kbbi.kemdikbud.go.id/entri/afrit","afrit","a","f","r","i","t"
"https://kbbi.kemdikbud.go.id/entri/afsun","afsun","a","f","s","u","n"
"https://kbbi.kemdikbud.go.id/entri/aftab","aftab","a","f","t","a","b"
"https://kbbi.kemdikbud.go.id/entri/afuah","afuah","a","f","u","a","h"
"https://kbbi.kemdikbud.go.id/entri/afwah","afwah","a","f","w","a","h"
"https://kbbi.kemdikbud.go.id/entri/agadi","agadi","a","g","a","d","i"
"https://kbbi.kemdikbud.go.id/entri/agama","agama","a","g","a","m","a"
"https://kbbi.kemdikbud.go.id/entri/agami","agami","a","g","a","m","i"
"https://kbbi.kemdikbud.go.id/entri/agape","agape","a","g","a","p","e"
"https://kbbi.kemdikbud.go.id/entri/agens","agens","a","g","e","n","s"
"https://kbbi.kemdikbud.go.id/entri/agium","agium","a","g","i","u","m"
"https://kbbi.kemdikbud.go.id/entri/aglaf","aglaf","a","g","l","a","f"
"https://kbbi.kemdikbud.go.id/entri/aglet","aglet","a","g","l","e","t"
"https://kbbi.kemdikbud.go.id/entri/agogo","agogo","a","g","o","g","o"
"https://kbbi.kemdikbud.go.id/entri/agoni","agoni","a","g","o","n","i"
"https://kbbi.kemdikbud.go.id/entri/agrad","agrad","a","g","r","a","d"
"https://kbbi.kemdikbud.go.id/entri/agung","agung","a","g","u","n","g"
"https://kbbi.kemdikbud.go.id/entri/ahang","ahang","a","h","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/ahare","ahare","a","h","a","r","e"
"https://kbbi.kemdikbud.go.id/entri/ahing","ahing","a","h","i","n","g"
"https://kbbi.kemdikbud.go.id/entri/ahkam","ahkam","a","h","k","a","m"
"https://kbbi.kemdikbud.go.id/entri/ahlak","ahlak","a","h","l","a","k"
"https://kbbi.kemdikbud.go.id/entri/ahmak","ahmak","a","h","m","a","k"
"https://kbbi.kemdikbud.go.id/entri/ahmar","ahmar","a","h","m","a","r"
"https://kbbi.kemdikbud.go.id/entri/ahmer","ahmer","a","h","m","e","r"
"https://kbbi.kemdikbud.go.id/entri/ahori","ahori","a","h","o","r","i"
"https://kbbi.kemdikbud.go.id/entri/ahsan","ahsan","a","h","s","a","n"
"https://kbbi.kemdikbud.go.id/entri/ahwal","ahwal","a","h","w","a","l"
"https://kbbi.kemdikbud.go.id/entri/aipda","aipda","a","i","p","d","a"
"https://kbbi.kemdikbud.go.id/entri/airud","airud","a","i","r","u","d"
"https://kbbi.kemdikbud.go.id/entri/ajaib","ajaib","a","j","a","i","b"
"https://kbbi.kemdikbud.go.id/entri/ajang","ajang","a","j","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/ajian","ajian","a","j","i","a","n"
"https://kbbi.kemdikbud.go.id/entri/ajing","ajing","a","j","i","n","g"
"https://kbbi.kemdikbud.go.id/entri/ajnas","ajnas","a","j","n","a","s"
"https://kbbi.kemdikbud.go.id/entri/ajoli","ajoli","a","j","o","l","i"
"https://kbbi.kemdikbud.go.id/entri/ajuan","ajuan","a","j","u","a","n"
"https://kbbi.kemdikbud.go.id/entri/ajuna","ajuna","a","j","u","n","a"
"https://kbbi.kemdikbud.go.id/entri/ajung","ajung","a","j","u","n","g"
"https://kbbi.kemdikbud.go.id/entri/akaid","akaid","a","k","a","i","d"
"https://kbbi.kemdikbud.go.id/entri/akang","akang","a","k","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/akasa","akasa","a","k","a","s","a"
"https://kbbi.kemdikbud.go.id/entri/akbar","akbar","a","k","b","a","r"
"https://kbbi.kemdikbud.go.id/entri/akene","akene","a","k","e","n","e"
"https://kbbi.kemdikbud.go.id/entri/akhir","akhir","a","k","h","i","r"
"https://kbbi.kemdikbud.go.id/entri/akhli","akhli","a","k","h","l","i"
"https://kbbi.kemdikbud.go.id/entri/aking","aking","a","k","i","n","g"
"https://kbbi.kemdikbud.go.id/entri/akmal","akmal","a","k","m","a","l"
"https://kbbi.kemdikbud.go.id/entri/akmil","akmil","a","k","m","i","l"
"https://kbbi.kemdikbud.go.id/entri/akpen","akpen","a","k","p","e","n"
"https://kbbi.kemdikbud.go.id/entri/akper","akper","a","k","p","e","r"
"https://kbbi.kemdikbud.go.id/entri/akpol","akpol","a","k","p","o","l"
"https://kbbi.kemdikbud.go.id/entri/akpri","akpri","a","k","p","r","i"
